
"Banco de México"

"Tasas y precios de referencia"
"Costos de Captación"

"Fecha de consulta: 18/09/2024 11:50:10"

""

"Título","Costo de captación a plazo de pasivos en moneda nacional (CCP), Tasa en por ciento anual","Costo de captación a plazo de pasivos en moneda nacional observado (CCPO), Tasa en por ciento anual","Costo de captación a plazo de pasivos en Udis (CCP-Udis), Tasa en por ciento anual","Costo de captación a plazo de pasivos en dólares (CCP-Dólares), Tasa en por ciento anual","Costo porcentual promedio (CPP), Tasa en por ciento anual","Costo de captaciÃ³n a plazo de pasivos estables (CPPE), Tasa en por ciento anual","Tasa de interés de los pasivos a plazo, Moneda nacional, Banca de Desarrollo"
"Periodo disponible","Ene 1996 - Ago 2024","Oct 2010 - Ago 2024","Ene 1995 - Ago 2024","Ene 1996 - Ago 2024","Ago 1975 - Ago 2024","Ene 2021 - Ago 2024","Ene 2000 - Ago 2024"
"Periodicidad","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual"
"Cifra","Porcentajes","Porcentajes","Porcentajes","Porcentajes","Porcentajes","Porcentajes","Porcentajes"
"Unidad","Porcentajes","Porcentajes","Porcentajes","Porcentajes","Porcentajes","Porcentajes","Porcentajes"
"Base","","","","","","",""
"Aviso","","","","","","",""
"Tipo de información","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles"
"Fecha","SF286","SF330232","SF3368","SF3366","SF285","SF339723","SF31980"
01/01/1995,N/E,N/E,N/E,N/E,29.87,N/E,N/E
01/02/1995,N/E,N/E,N/E,N/E,35.98,N/E,N/E
01/03/1995,N/E,N/E,N/E,N/E,56.82,N/E,N/E
01/04/1995,N/E,N/E,N/E,N/E,70.26,N/E,N/E
01/05/1995,N/E,N/E,N/E,N/E,57.86,N/E,N/E
01/06/1995,N/E,N/E,N/E,N/E,46.39,N/E,N/E
01/07/1995,N/E,N/E,N/E,N/E,41.42,N/E,N/E
01/08/1995,N/E,N/E,N/E,N/E,37.10,N/E,N/E
01/09/1995,N/E,N/E,N/E,N/E,34.61,N/E,N/E
01/10/1995,N/E,N/E,N/E,N/E,37.08,N/E,N/E
01/11/1995,N/E,N/E,6.62,N/E,47.54,N/E,N/E
01/12/1995,N/E,N/E,6.99,N/E,46.54,N/E,N/E
01/01/1996,N/E,N/E,7.15,N/E,40.18,N/E,N/E
01/02/1996,37.22,N/E,8.05,N/E,35.91,N/E,N/E
01/03/1996,40.33,N/E,8.32,N/E,39.12,N/E,N/E
01/04/1996,36.61,N/E,8.36,7.59,35.21,N/E,N/E
01/05/1996,30.54,N/E,8.30,7.39,29.38,N/E,N/E
01/06/1996,27.96,N/E,8.09,7.32,27.05,N/E,N/E
01/07/1996,30.01,N/E,8.11,7.36,29.18,N/E,N/E
01/08/1996,28.58,N/E,7.98,7.12,27.52,N/E,N/E
01/09/1996,25.84,N/E,7.77,7.08,24.92,N/E,N/E
01/10/1996,25.79,N/E,7.91,7.05,25.04,N/E,N/E
01/11/1996,29.01,N/E,7.71,6.92,28.03,N/E,N/E
01/12/1996,28.19,N/E,7.27,6.88,26.97,N/E,N/E
01/01/1997,25.29,N/E,6.61,6.77,24.08,N/E,N/E
01/02/1997,22.09,N/E,6.32,6.75,21.06,N/E,N/E
01/03/1997,21.82,N/E,6.42,6.72,21.10,N/E,N/E
01/04/1997,21.91,N/E,6.55,6.63,21.07,N/E,N/E
01/05/1997,19.59,N/E,6.78,6.65,18.73,N/E,N/E
01/06/1997,19.60,N/E,6.90,6.62,18.78,N/E,N/E
01/07/1997,18.97,N/E,7.20,6.59,18.05,N/E,N/E
01/08/1997,18.21,N/E,7.21,6.63,17.34,N/E,N/E
01/09/1997,18.12,N/E,7.05,6.55,17.18,N/E,N/E
01/10/1997,17.36,N/E,6.55,6.58,16.56,N/E,N/E
01/11/1997,18.63,N/E,5.76,6.54,17.74,N/E,N/E
01/12/1997,18.87,N/E,5.78,6.56,17.79,N/E,N/E
01/01/1998,17.91,N/E,5.52,6.51,16.98,N/E,N/E
01/02/1998,17.95,N/E,5.54,6.47,17.03,N/E,N/E
01/03/1998,18.36,N/E,5.60,6.48,17.37,N/E,N/E
01/04/1998,18.65,N/E,5.62,6.43,17.66,N/E,N/E
01/05/1998,17.72,N/E,5.76,6.40,16.85,N/E,N/E
01/06/1998,18.18,N/E,5.78,6.41,17.24,N/E,N/E
01/07/1998,18.86,N/E,5.72,6.42,17.75,N/E,N/E
01/08/1998,20.07,N/E,5.83,6.46,19.05,N/E,N/E
01/09/1998,29.57,N/E,5.84,6.44,27.54,N/E,N/E
01/10/1998,31.43,N/E,5.94,6.35,29.28,N/E,N/E
01/11/1998,29.45,N/E,6.13,6.31,27.76,N/E,N/E
01/12/1998,30.47,N/E,5.98,6.29,28.56,N/E,N/E
01/01/1999,30.01,N/E,5.33,6.28,28.31,N/E,N/E
01/02/1999,28.64,N/E,3.36,6.26,26.90,N/E,N/E
01/03/1999,24.21,N/E,3.33,6.30,22.84,N/E,N/E
01/04/1999,20.31,N/E,3.48,6.28,19.16,N/E,N/E
01/05/1999,18.95,N/E,3.77,6.25,17.82,N/E,N/E
01/06/1999,19.75,N/E,3.88,6.23,18.62,N/E,N/E
01/07/1999,19.09,N/E,3.87,6.24,18.08,N/E,N/E
01/08/1999,19.18,N/E,4.15,6.28,18.17,N/E,N/E
01/09/1999,18.96,N/E,4.24,6.27,17.94,N/E,N/E
01/10/1999,18.11,N/E,4.34,6.36,17.25,N/E,N/E
01/11/1999,17.10,N/E,4.63,6.48,16.26,N/E,N/E
01/12/1999,16.34,N/E,4.40,6.57,15.42,N/E,N/E
01/01/2000,16.28,N/E,4.35,6.60,15.29,N/E,N/E
01/02/2000,16.07,N/E,4.28,6.68,15.18,N/E,N/E
01/03/2000,14.42,N/E,3.91,6.71,13.67,N/E,N/E
01/04/2000,13.12,N/E,3.78,6.75,12.48,N/E,N/E
01/05/2000,13.29,N/E,3.81,6.80,12.51,N/E,N/E
01/06/2000,14.42,N/E,3.89,6.88,13.53,N/E,N/E
01/07/2000,13.84,N/E,3.87,6.86,12.98,N/E,N/E
01/08/2000,13.98,N/E,4.03,6.83,13.05,N/E,N/E
01/09/2000,14.16,N/E,4.11,6.76,13.29,N/E,N/E
01/10/2000,14.44,N/E,4.07,6.84,13.51,N/E,N/E
01/11/2000,15.56,N/E,4.31,6.78,14.44,N/E,N/E
01/12/2000,15.55,N/E,4.27,6.77,14.39,N/E,17.69
01/01/2001,15.96,N/E,4.49,6.61,14.66,N/E,17.73
01/02/2001,15.82,N/E,4.76,6.49,14.63,N/E,17.40
01/03/2001,15.12,N/E,4.68,6.34,14.08,N/E,16.74
01/04/2001,14.33,N/E,4.69,6.17,13.32,N/E,16.21
01/05/2001,12.65,N/E,4.78,5.82,11.79,N/E,14.78
01/06/2001,10.15,N/E,4.96,5.50,9.47,N/E,12.23
01/07/2001,8.97,N/E,5.47,5.16,8.24,N/E,11.11
01/08/2001,8.04,N/E,5.60,4.76,7.45,N/E,9.65
01/09/2001,8.16,N/E,5.77,4.61,7.52,N/E,9.98
01/10/2001,8.53,N/E,5.89,4.48,7.89,N/E,10.23
01/11/2001,7.22,N/E,5.96,4.17,6.58,N/E,8.93
01/12/2001,6.49,N/E,6.03,3.88,5.81,N/E,7.99
01/01/2002,6.19,N/E,6.17,3.66,5.52,N/E,7.73
01/02/2002,6.76,N/E,6.19,3.58,6.01,N/E,8.49
01/03/2002,6.54,N/E,6.46,3.37,5.82,N/E,8.33
01/04/2002,5.46,N/E,5.81,3.34,4.86,N/E,7.09
01/05/2002,5.71,N/E,5.78,3.33,5.02,N/E,7.32
01/06/2002,6.15,N/E,5.74,3.32,5.37,N/E,7.77
01/07/2002,6.37,N/E,5.73,3.26,5.56,N/E,7.87
01/08/2002,5.81,N/E,5.72,3.21,5.05,N/E,7.06
01/09/2002,5.97,N/E,5.59,3.24,5.17,N/E,7.40
01/10/2002,6.47,N/E,5.54,3.12,5.48,N/E,8.05
